anime,votes,votes_weight,genres,rate_1_stars,rate_1_stars,rate_2_stars,rate_3_stars,rate_4_stars,rate_5_stars,rate
"Love, Chunibyo & Other Delusions",107,517,"slice of life,comedy,drama,romance",0,0,0,0,18,89,4.83
La Corda d'Oro ~primo passo~ and ~secondo passo~,9555,46479,"romance,music,harem",71,71,26,148,638,8672,4.86
Zombie Loan,10,35,"action,supernatural,romance,thriller",0,0,1,4,4,1,3.5
18if,45,159,"supernatural,fantasy",6,6,4,11,8,16,3.53
My Hero Academia,1023,4913,"action,fantasy,shonen",16,16,10,23,62,912,4.8
Demonbane,350,1576,mecha,8,8,5,25,77,235,4.5
Super Sonico - The Animation,62,208,"slice of life,music,drama",12,12,8,10,10,22,3.35
Hiiro no Kakera,426,1786,"fantasy,romance",22,22,35,44,63,262,4.19
Ahiru no Sora,46,199,"sports,shonen",2,2,5,2,4,33,4.33
God Mars,1,3,"action,adventure,sci-fi,mecha",0,0,0,1,0,0,3.0
Tsurune,48,226,"drama,sports,slice of life",0,0,0,1,12,35,4.71
Myself; Yourself,4588,22000,"romance,drama,slice of life",47,47,24,120,440,3957,4.8
EVIL OR LIVE,67,191,"seinen,drama,thriller",20,20,9,13,11,14,2.85
Yowamushi Pedal,133,637,"sports,shonen,action,drama",1,1,1,1,19,111,4.79
The Pilot's Love Song,50,214,"adventure,romance,drama,action",1,1,3,5,13,28,4.28
Please tell me! Galko-chan,65,285,"comedy,slice of life",0,0,1,6,25,33,4.38
Cardcaptor Sakura: Clear Card,65,299,"adventure,comedy,shojo,magical girls",2,2,3,2,5,53,4.6
Mr. Osomatsu,89,419,"comedy,slice of life",3,3,2,1,6,77,4.71
Pan de Peace!,24,78,"comedy,slice of life",2,2,4,7,8,3,3.25
Kimagure Orange Road,7,35,"action,comedy,drama,romance,supernatural",0,0,0,0,0,7,5.0
Magimoji Rurumo,37,161,"supernatural,comedy",2,2,0,3,10,22,4.35
Captain Harlock,255,1175,"action,drama",11,11,3,5,37,199,4.61
La storia della Arcana Famiglia,110,364,,20,20,17,22,11,40,3.31
CLIF,4,15,"sgdrama,action,thriller",1,1,0,0,1,2,3.75
Planet With,47,215,"seinen,sci-fi,action,drama,comedy,mecha",0,0,1,5,7,34,4.57
Military!,20,64,comedy,5,5,3,3,1,8,3.2
Symphogear,43,199,"action,adventure,sci-fi,music,idols",0,0,3,2,3,35,4.63
My First Girlfriend is a Gal,175,598,"romance,comedy,slice of life,harem",33,33,16,22,53,51,3.42
The Lost Village,148,458,"comedy,thriller,mystery,supernatural",23,23,27,33,43,22,3.09
