anime,votes,votes_weight,genres,rate_1_stars,rate_1_stars,rate_2_stars,rate_3_stars,rate_4_stars,rate_5_stars,rate
Elegant Yokai Apartment Life,76,314,"slice of life,fantasy,supernatural,drama",3,3,5,11,17,40,4.13
Rainy Cocoa,6,14,"comedy,slice of life",2,2,2,0,2,0,2.33
Rainy Cocoa sideG,8,15,"slice of life,comedy",4,4,2,1,1,0,1.88
Barakamon,84,407,"slice of life,comedy,seinen",0,0,0,1,11,72,4.85
Naruto Shippuden the Movie: The Lost Tower,0,0,shonen,0,0,0,0,0,0,0.0
IRYU - Team Medical Dragon,13,59,,0,0,0,0,6,7,4.54
Cardfight!! Vanguard Asia Circuit (Season 2),15,62,,2,2,1,1,0,11,4.13
Clockwork Planet,59,186,"sci-fi,fantasy",8,8,12,16,9,14,3.15
Total Eclipse,179,658,"action,adventure,mecha",22,22,24,23,31,79,3.68
Oreimo,795,3512,"drama,romance,slice of life",31,31,35,52,130,547,4.42
You and Me 2,136,643,slice of life,4,4,2,3,9,118,4.73
CHRONOS RULER,32,103,"action,fantasy,drama",6,6,5,5,8,8,3.22
Anti-Magic Academy: The 35th Test Platoon,100,352,"action,fantasy,drama",5,5,21,20,25,29,3.52
GA Geijutsuka Art Design Class,108,496,"comedy,slice of life,seinen",3,3,1,6,17,81,4.59
Takamiya Nasuno Desu!,22,77,"comedy,slice of life,shonen",4,4,2,2,7,7,3.5
Library War,13,63,"action,romance",0,0,0,0,2,11,4.85
The Crunchyroll Anime Awards,1,5,,0,0,0,0,0,1,5.0
Inugami-san to Nekoyama-san,27,117,"romance,comedy",0,0,1,3,9,14,4.33
Naruto Shippuden the Movie: The Will of Fire,1,5,shonen,0,0,0,0,0,1,5.0
Yakitate!! Japan,23,102,"shonen,action,comedy",0,0,2,1,5,15,4.43
Voices of a Distant Star,471,2211,"mecha,drama,romance,sci-fi,post-apocalyptic",9,9,8,15,54,385,4.69
Ping Pong the Animation,47,233,"sports,seinen",0,0,0,1,0,46,4.96
Magical Play,109,473,magical girls,7,7,2,6,26,68,4.34
Crane Game Girls,6,12,"sci-fi,comedy",3,3,1,1,1,0,2.0
The Diary of Ochibi (Motion Manga),2,9,,0,0,0,0,1,1,4.5
Death Note,24,116,"thriller,supernatural",0,0,0,1,2,21,4.83
Taboo Tattoo,148,331,"action,fantasy,sci-fi",62,62,35,22,12,17,2.24
Kaede New Town,42,186,"romance,comedy,slice of life",4,4,0,2,4,32,4.43
Maoyu,157,683,"fantasy,romance,adventure",2,2,7,14,45,89,4.35
Music Girls,6,22,"music,slice of life,shojo,idols",0,0,1,2,1,2,3.67
Ms. Koizumi-san Loves Ramen Noodles,50,167,"comedy,slice of life",3,3,12,10,15,10,3.34
High School Entrance Exam,5,20,,0,0,0,2,1,2,4.0
Anime Crimes Division,48,201,"action,comedy,drama,sci-fi",9,9,0,0,3,36,4.19
Knight’s & Magic,172,682,"action,adventure,sci-fi,mecha,isekai",7,7,15,32,41,77,3.97
Tantei Team KZ Jiken Note,12,44,mystery,0,0,0,6,4,2,3.67
OneRoom,65,178,"romance,slice of life,drama",19,19,12,13,9,12,2.74
Didn't I say to make my abilities average in the next life,143,543,"isekai,fantasy,comedy",13,13,17,17,35,61,3.8
ISEKAI QUARTET,51,234,"comedy,fantasy,isekai",1,1,2,3,5,40,4.59
"Say ""I love you.""",583,2666,"shojo,romance,drama,slice of life",6,6,14,35,113,415,4.57
GRANBLUE FANTASY: The Animation,77,296,"adventure,fantasy",5,5,6,17,17,32,3.84
"Science Fell in Love, So I Tried to Prove it",43,186,"comedy,romance,slice of life",4,4,1,3,4,31,4.33
Hi-sCool! Seha Girls,16,69,"comedy,slice of life",0,0,0,5,1,10,4.31
PERSONA5 the Animation -THE DAY BREAKERS-,23,98,"thriller,supernatural,mystery,action",1,1,2,1,5,14,4.26
Mashiroiro Symphony,439,2049,"drama,harem,romance",3,3,12,19,60,345,4.67
Medaka Box,200,911,romance,2,2,7,12,36,143,4.56
Nobunagun,62,282,"action,sci-fi,shonen",1,1,1,4,13,43,4.55
Izetta: The Last Witch,111,447,"action,historical,fantasy,romance,drama,supernatural",3,3,7,23,29,49,4.03
Umamusume: Pretty Derby,61,275,"slice of life,sports,drama,idols",1,1,1,4,15,40,4.51
Wooser's Hand-to-Mouth Life,13,49,"comedy,slice of life",0,0,2,4,2,5,3.77
RH Plus,623,2886,"jdrama,horror,action",10,10,11,30,96,476,4.63
91 Days,163,770,"drama,historical,seinen,action",0,0,1,12,18,132,4.72
Piacevole,11,45,"comedy,slice of life",0,0,0,1,8,2,4.09
Usakame,6,23,"sports,comedy,slice of life",0,0,2,0,1,3,3.83
Mischievous Kiss 2 - Love in Okinawa,27,131,,0,0,0,1,2,24,4.85
Time Taxi,34,165,,0,0,0,0,5,29,4.85
Rail Wars!,61,214,"action,harem",9,9,7,10,14,21,3.51
Tamayura Hitotose,4,19,"slice of life,drama,comedy",0,0,0,0,1,3,4.75
RWBY VOLUME 1-3: The Beginning,17,57,"fantasy,adventure,action,sci-fi,drama",5,5,0,2,4,6,3.35
Nurse Witch KOMUGI R,14,48,"comedy,fantasy,idols",2,2,0,6,2,4,3.43
Aldnoah.Zero,395,1584,"action,sci-fi,drama,mecha",21,21,33,61,86,194,4.01
Straight Title Robot Anime,24,74,"comedy,sci-fi",8,8,1,3,5,7,3.08
Akashic Records of Bastard Magic Instructor,241,988,"action,fantasy,adventure",12,12,13,35,60,121,4.1
Oreshura,96,407,"slice of life,romance,comedy,harem",2,2,6,11,25,52,4.24
Bludgeoning Angel Dokuro-chan,10,46,"comedy,romance,magical girls",1,1,0,0,0,9,4.6
Chivalry of a Failed Knight,39,187,"action,fantasy,romance,drama",1,1,0,0,4,34,4.79
Merc StoriA: The Apathetic Boy and the Girl in a Bottle,22,82,fantasy,1,1,4,3,6,8,3.73
Hakone-chan,19,57,"comedy,slice of life,supernatural",2,2,4,7,4,2,3.0
EAT-MAN '98,1,5,"sci-fi,action,adventure",0,0,0,0,0,1,5.0
In/Spectre,78,309,"fantasy,mystery,drama,action,romance,supernatural,thriller",3,3,11,11,14,39,3.96
The Kawai Complex Guide to Manors and Hostel Behavior,85,390,"comedy,romance,slice of life,seinen",2,2,1,5,14,63,4.59
The Magnificent KOTOBUKI,25,99,"action,adventure",3,3,0,2,10,10,3.96
Re-Kan!,23,96,comedy,0,0,2,4,5,12,4.17
Chargeman Ken,6,15,"sci-fi,action,adventure",3,3,1,0,0,2,2.5
Mobile Suit GUNDAM Iron Blooded Orphans,228,1042,"mecha,action,sci-fi",6,6,10,8,28,176,4.57
Long Riders!,5,21,"sports,comedy,slice of life,shonen",0,0,0,1,2,2,4.2
Magical Somera-chan,11,41,comedy,0,0,2,2,4,3,3.73
Please Teacher!,17,75,"comedy,romance,drama,sci-fi",0,0,1,1,5,10,4.41
Sword Art Online Alternative: Gun Gale Online,182,678,"action,adventure,sci-fi,isekai,drama",26,26,13,25,39,79,3.73
Love Live!,216,1002,"idols,music,slice of life,drama",3,3,3,13,31,166,4.64
Poco's Udon World,52,249,"slice of life,comedy,drama,fantasy",0,0,0,2,7,43,4.79
Golden Kamuy,82,384,"adventure,seinen,action,drama,slice of life,historical,mystery",2,2,0,3,12,65,4.68
GARO -VANISHING LINE-,45,202,"action,sci-fi,fantasy,supernatural",0,0,2,5,7,31,4.49
My Roommate is a Cat,108,518,"slice of life,drama,comedy",0,0,1,3,13,91,4.8
Comic Girls,44,184,"comedy,slice of life",1,1,4,6,8,25,4.18
Bodacious Space Pirates,791,3687,comedy,6,6,18,43,104,620,4.66
Horizon in the Middle of Nowhere,505,2241,,23,23,21,31,67,363,4.44
A Certain Scientific Railgun,42,199,"action,sci-fi",1,1,0,2,3,36,4.74
True Tears,6,28,"romance,drama,slice of life",0,0,0,0,2,4,4.67
Ramen Fighter Miki,277,1273,"action,comedy",7,7,1,17,47,205,4.6
Wonder Momo,11,25,"action,sci-fi,idols,magical girls",3,3,4,3,0,1,2.27
Book Girl,10,49,"drama,romance,mystery",0,0,0,0,1,9,4.9
Brave Witches,31,125,"action,sci-fi",2,2,1,5,9,14,4.03
How to Keep a Mummy,117,558,"comedy,supernatural,slice of life",0,0,3,3,12,99,4.77
Level E,623,2888,,3,3,7,30,134,449,4.64
Non Non Biyori,124,592,"slice of life,comedy,seinen",1,1,1,4,13,105,4.77
ENDRO!,16,76,"fantasy,slice of life",0,0,0,2,0,14,4.75
Girlish number,20,84,"comedy,slice of life,idols",0,0,2,0,10,8,4.2
Ange Vierge,41,108,"adventure,fantasy,action,sci-fi",17,17,6,4,3,11,2.63
Comical Psychosomatic Medicine,31,126,"comedy,slice of life",1,1,1,5,12,12,4.06
Senryu Girl,26,124,"slice of life,comedy",0,0,0,0,6,20,4.77
Nogizaka Haruka no Himitsu,2504,12133,"romance,comedy,slice of life",24,24,7,39,192,2242,4.85
PandoraHearts,84,378,"action,fantasy,adventure,thriller,mystery,shonen",1,1,1,8,19,55,4.5
Skull-face Bookseller Honda-san,62,286,"comedy,slice of life,shojo",0,0,1,5,11,45,4.61
Phantom Thief Reinya,161,715,comedy,8,8,3,9,31,110,4.44
Ultraman X,14,60,,1,1,1,1,1,10,4.29
Fairy Tail,673,2934,,37,37,36,47,81,472,4.36
Dr. Coto's Clinic,11,55,,0,0,0,0,0,11,5.0
Try Knights,30,62,"sports,action,drama,shojo",18,18,2,4,2,4,2.07
Os Cavaleiros do Zodíaco - Ômega,177,716,,16,16,10,23,29,99,4.05
Sketchbook ~full color's~,5,24,"comedy,slice of life,shonen",0,0,0,0,1,4,4.8
Gakuen Alice,8,40,"comedy,shojo",0,0,0,0,0,8,5.0
BLASSREITER,1868,8658,"action,sci-fi,drama,mecha",67,67,25,63,213,1500,4.63
Ooya-san wa Shishunki!,20,89,"comedy,slice of life",0,0,0,1,9,10,4.45
Kono Aozora ni Yakusoku wo,1119,5143,"harem,drama",37,37,14,59,144,865,4.6
A Bridge to the Starry Skies - Hoshizora e Kakaru Hashi,1282,6001,"harem,seinen",17,17,14,56,187,1008,4.68
Kino no Tabi -the Beautiful World- the Animated Series,136,617,"seinen,drama,fantasy,adventure,slice of life,action,mystery",3,3,5,7,22,99,4.54
Ulysses: Jeanne d'Arc and the Alchemist Knight,90,190,"historical,action,fantasy",46,46,19,8,3,14,2.11
Boogiepop and Others,60,253,"drama,supernatural,thriller",4,4,8,3,1,44,4.22
A Certain Magical Index,102,362,"fantasy,sci-fi,action",12,12,13,16,29,32,3.55
Golden Time,519,2391,"slice of life,romance,comedy,drama",11,11,16,23,66,403,4.61
Demon King Daimao,3420,16148,"action,comedy,fantasy,harem,romance",30,30,26,125,504,2735,4.72
Hakata Tonkotsu Ramens,81,379,"action,drama,mystery",1,1,0,3,16,61,4.68
Frame Arms Girl,5,23,"sci-fi,slice of life,mecha",0,0,0,0,2,3,4.6
Happy Boys,56,275,"jdrama,comedy,romance",0,0,0,0,5,51,4.91
Sabagebu!,63,295,"sports,comedy,action,slice of life",0,0,0,3,14,46,4.68
Ano Natsu de Matteru,685,3211,"romance,slice of life,drama",12,12,10,21,94,548,4.69
Lupin the Third Part 1,6,25,"action,adventure,seinen,mystery",1,1,0,0,1,4,4.17
Saint Seiya Hades (EN),2,8,,0,0,0,1,0,1,4.0
Wakakozake,55,261,"slice of life,comedy,seinen",0,0,0,4,6,45,4.75
Hell Girl: Fourth Twilight,22,87,"drama,supernatural",2,2,3,3,0,14,3.95
Ultraman Orb,22,103,,1,1,0,0,3,18,4.68
The Glass Mask Year 3 Class D,2,8,"comedy,slice of life",0,0,0,0,2,0,4.0
Magic-Kyun! Renaissance,18,72,"music,supernatural,romance",1,1,1,5,1,10,4.0
DENKI-GAI,65,294,"comedy,slice of life",2,2,1,2,16,44,4.52
Vividred Operation,72,229,"action,sci-fi,mecha",12,12,11,19,12,18,3.18
Fox Spirit Matchmaker,98,370,"comedy,romance,fantasy",18,18,6,4,22,48,3.78
Naruto the Movie: Ninja Clash in the Land of Snow,1,5,shonen,0,0,0,0,0,1,5.0
Blue Seed,4,20,"action,sci-fi,supernatural,comedy,romance",0,0,0,0,0,4,5.0
World Trigger,268,1170,"action,shonen,sci-fi,fantasy,supernatural",7,7,18,25,38,180,4.37
Tari Tari,91,433,"slice of life,music,drama",0,0,0,2,18,71,4.76
Lance N' Masques,54,158,"action,fantasy",17,17,5,10,9,13,2.93
Slow Start,22,91,"comedy,slice of life",0,0,3,2,6,11,4.14
Twin Angel: Twinkle Paradise,105,415,magical girls,12,12,6,14,16,57,3.95
Fairy Musketeers,1001,4772,"magical girls,fantasy",20,20,3,25,94,859,4.77
Anohana: The Flower We Saw That Day (Drama),26,111,,2,2,2,1,3,18,4.27
Ai-Mai-Mi,41,145,"slice of life,comedy",6,6,7,5,5,18,3.54
Working!,556,2656,"comedy,slice of life",5,5,7,11,61,472,4.78
Ace Attorney,134,506,"comedy,drama,mystery",20,20,12,12,24,66,3.78
ISLAND,73,253,"slice of life,sci-fi,drama",12,12,9,14,9,29,3.47
Samurai Pizza Cats,9,44,"action,comedy,sci-fi,shonen,historical",0,0,0,0,1,8,4.89
Is the Order a Rabbit?,82,388,"slice of life,comedy",0,0,0,4,14,64,4.73
Os Cavaleiros do Zodíaco,27,134,,0,0,0,0,1,26,4.96
CHAOS;CHILD,26,97,"thriller,mystery",2,2,4,5,3,12,3.73
The Fruit of Grisaia,161,710,"drama,thriller,romance",3,3,7,15,32,104,4.41
Onee-chan ga Kita,42,165,"comedy,slice of life",3,3,3,5,14,17,3.93
Antiquarian Bookshop Biblia's Case Files,23,114,,0,0,0,0,1,22,4.96
Space Adventure Cobra,2,10,,0,0,0,0,0,2,5.0
elDLIVE,20,67,"sci-fi,adventure",5,5,2,3,1,9,3.35
Makai Ouji: Devils and Realist,50,204,"supernatural,drama",2,2,2,11,10,25,4.08
Classroom☆Crisis,55,236,"sci-fi,drama,romance",1,1,3,7,12,32,4.29
Clean Freak! Aoyama kun,38,136,"comedy,sports,slice of life",5,5,4,8,6,15,3.58
Gakuen Basara: Samurai High School,1,5,"action,comedy",0,0,0,0,0,1,5.0
Fist of the North Star,637,2974,post-apocalyptic,22,22,1,23,74,517,4.67
The Sprites of Floria,5,11,"adventure,fantasy,drama",3,3,0,1,0,1,2.2
Majin Bone,17,56,"action,shonen,fantasy,isekai",3,3,2,5,1,6,3.29
Hayate the Combat Butler! (S1 e S2),5689,27576,,47,47,12,92,461,5077,4.85
Fan Chronicles: Um Documentário Crunchyroll,27,37,,24,24,0,1,0,2,1.37
We Never Learn: BOKUBEN,87,397,"comedy,shonen,romance,slice of life,harem",0,0,0,12,14,61,4.56
How Not to Summon a Demon Lord,370,1495,"fantasy,action,romance,harem",29,29,25,40,84,192,4.04
The Dragon Dentist,13,54,"fantasy,adventure,action,supernatural",1,1,1,1,2,8,4.15
Nanana's Buried Treasure,65,280,"supernatural,comedy",0,0,5,7,16,37,4.31
Hayate the Combat Butler!,38,163,"comedy,romance,slice of life,action,harem",1,1,2,3,11,21,4.29
PriPri Chi-chan!!,8,40,"comedy,sci-fi,shojo",0,0,0,0,0,8,5.0
Ikemen Sengoku: Bromances Across Time,8,40,"comedy,romance,historical",0,0,0,0,0,8,5.0
Happy Life,2,9,,0,0,0,0,1,1,4.5
Amagi Brilliant Park,63,288,"comedy,slice of life",0,0,2,3,15,43,4.57
Pilot Candidate,5,11,"action,adventure,sci-fi,mecha",2,2,1,1,1,0,2.2
Our love has always been 10 centimeters apart.,37,167,"drama,romance",0,0,1,3,9,24,4.51
Glass Mask,1709,8271,romance,21,21,9,22,119,1538,4.84
"Listen to Me, Girls, I’m Your Father!",937,4386,harem,17,17,6,41,131,742,4.68
NARUTO Spin-Off: Rock Lee & His Ninja Pals,369,1513,,44,44,14,34,46,231,4.1
Photo Kano,40,122,"romance,harem,seinen",5,5,11,9,7,8,3.05
Frankenstein Family,31,88,"slice of life,sci-fi",7,7,8,7,1,8,2.84
Kokoro Connect,259,1158,"slice of life,romance,drama",7,7,5,22,50,175,4.47
Triage X,64,207,"action,shonen",11,11,11,9,18,15,3.23
Maerchen Maedchen,22,68,"fantasy,supernatural",5,5,3,5,3,6,3.09
Date A Live,35,155,"fantasy,sci-fi,romance,action,comedy,drama,harem",1,1,2,3,4,25,4.43
Magical Girl Ore,61,265,"romance,fantasy,comedy",1,1,4,6,12,38,4.34
The Place Promised In Our Early Days,503,2433,"romance,drama,sci-fi",6,6,1,7,41,448,4.84
Detective vs Detectives,11,55,,0,0,0,0,0,11,5.0
I've Always Liked You,40,169,"romance,drama,slice of life",1,1,4,3,9,23,4.22
Mushibugyo,69,311,"action,adventure,fantasy,historical",0,0,3,5,15,46,4.51
Gingitsune: Messenger Fox of the Gods,54,243,"supernatural,slice of life",2,2,0,2,15,35,4.5
BONJOUR♪Sweet Love Patisserie,68,231,"romance,slice of life,harem",2,2,11,23,22,10,3.4
WWW.Working!!,51,204,"comedy,romance,slice of life,drama",2,2,3,7,20,19,4.0
Tenchi Muyo! Ryo-Ohki,1,5,,0,0,0,0,0,1,5.0
Shinobi Girl,4,4,"martial arts,action",4,4,0,0,0,0,1.0
Scorching Ping Pong Girls,24,105,"sports,slice of life,comedy,action",0,0,2,1,7,14,4.38
To Be Heroine,53,231,"comedy,action,supernatural",6,6,0,2,6,39,4.36
Cat God,292,1286,"comedy,seinen,supernatural,fantasy",5,5,10,27,70,180,4.4
Dog Days,90,387,"comedy,action",6,6,4,7,13,60,4.3
Sherlock Hound,103,470,"mystery,adventure,action",3,3,2,4,19,75,4.56
Cardfight!! Vanguard Legion Mate (Season 4),7,26,action,2,2,0,0,1,4,3.71
Holy Knight,35,90,"drama,fantasy,supernatural,seinen,harem",15,15,6,2,3,9,2.57
Minami Kamakura High School Girls Cycling Club,10,40,"sports,slice of life",1,1,0,1,4,4,4.0
YuruYuri,789,3662,"comedy,slice of life",12,12,5,46,128,598,4.64
SHONEN HOLLYWOOD -HOLLY STAGE FOR 49-,2,10,idols,0,0,0,0,0,2,5.0
The Ambition of Oda Nobuna,145,661,"fantasy,historical,action",3,3,2,9,28,103,4.56
Infinite Stratos,102,359,"romance,harem,mecha,action,sci-fi",11,11,20,14,19,38,3.52
Time Bokan 24,5,18,"comedy,sci-fi,action",1,1,0,0,3,1,3.6
Skip Beat!,15011,73683,"comedy,romance,drama",98,98,20,112,696,14085,4.91
DRAMAtical Murder,135,538,"drama,romance,sci-fi,action",8,8,10,20,35,62,3.99
Wakaba＊Girl,18,72,"slice of life,comedy",2,2,0,3,4,9,4.0
Gangsta.,17,73,"action,drama,seinen",1,1,1,2,1,12,4.29
Black Jack The Movie,2,10,"adventure,drama,comedy,thriller",0,0,0,0,0,2,5.0
Cowboy Bebop,170,838,"sci-fi,action,drama",0,0,0,4,4,162,4.93
Working Buddies!,8,34,"comedy,slice of life",0,0,0,2,2,4,4.25
The Price of Smiles,55,166,"drama,sci-fi,fantasy,action,mecha",12,12,11,9,10,13,3.02
Utakoi,33,153,"romance,historical,drama",1,1,0,1,6,25,4.64
Akiba's Trip The Animation,30,121,"action,comedy,supernatural",3,3,1,2,10,14,4.03
Slam Dunk (Dub),4,19,"sports,shonen,action,drama",0,0,0,0,1,3,4.75
Garakowa -Restore the World-,34,130,"drama,sci-fi",0,0,5,8,9,12,3.82
Oda Cinnamon Nobunaga,11,51,comedy,0,0,0,2,0,9,4.64
Full Metal Panic! Invisible Victory,42,185,"action,drama,sci-fi,mecha",4,4,0,2,5,31,4.4
The Reflection,42,141,"action,adventure,sci-fi",6,6,9,4,10,13,3.36
Lupin the Third Part 2,6,30,"action,adventure,seinen,mystery",0,0,0,0,0,6,5.0
Shin Atashinchi,8,39,"comedy,slice of life",0,0,0,0,1,7,4.88
THE PROMISED NEVERLAND,431,2114,"thriller,shonen,action,drama,mystery,sci-fi,fantasy,post-apocalyptic",3,3,1,5,16,406,4.9
Tesagure! Bukatsumono,14,54,"comedy,slice of life",2,2,0,2,4,6,3.86
Mitchiri Neko,14,62,"comedy,slice of life",0,0,1,1,3,9,4.43
Tokyo Ghoul: re,46,142,,13,13,7,5,5,16,3.09
YUYUSHIKI,42,191,"comedy,slice of life",0,0,0,6,7,29,4.55
Yokuwakaru Gendai Maho,1288,5906,magical girls,29,29,18,65,234,942,4.59
Arcana,1,3,,0,0,0,1,0,0,3.0
PUNCH LINE,122,520,"comedy,action,sci-fi,supernatural",7,7,5,11,25,74,4.26
Jin Roh,10,45,"drama,romance,sci-fi,thriller",0,0,1,0,2,7,4.5
Laid-Back Camp,174,843,"adventure,slice of life,comedy",2,2,1,4,8,159,4.84
Mobile Suit Gundam Seed Destiny,15,45,"mecha,sci-fi,action",3,3,3,4,1,4,3.0
The Tatami Galaxy,21,104,,0,0,0,0,1,20,4.95
Shin Koihime Musou,815,3882,action,5,5,6,27,101,676,4.76
Valerian and Laureline,98,437,"sci-fi,adventure,drama,romance",4,4,0,8,21,65,4.46
Blade and Soul,138,417,"action,adventure,fantasy",24,24,32,29,23,30,3.02
Gakuen Handsome,50,225,"slice of life,drama,comedy,romance",5,5,0,2,1,42,4.5
AOKANA: Four Rhythm Across the Blue,63,241,"comedy,sci-fi,drama,sports",6,6,7,7,15,28,3.83
Alderamin on the Sky,164,745,"adventure,action,fantasy,drama",3,3,4,10,31,116,4.54
Re:ZERO -Starting Life in Another World-,1163,5297,"fantasy,adventure,action,comedy,romance,drama,isekai",44,44,34,60,120,905,4.55
Marmalade Boy,7,34,,0,0,0,0,1,6,4.86
Gundam Build Fighters,11,54,"mecha,action,sci-fi,slice of life",0,0,0,0,1,10,4.91
Urawa no Usagi-chan,12,31,"comedy,slice of life",4,4,2,2,3,1,2.58
GOBLIN SLAYER,818,3665,"action,adventure,fantasy",50,50,27,33,78,630,4.48
Phoenix,4,14,fantasy,1,1,0,1,0,2,3.5
Crunchycast,16,67,,1,1,1,2,2,10,4.19
Beelzebub,2928,14027,"action,comedy,supernatural",11,11,18,80,355,2464,4.79
Flowers of Evil,151,640,"thriller,shonen,drama,romance",14,14,4,8,31,94,4.24
Record of Grancrest War,210,752,"action,drama,fantasy,romance",21,21,36,34,38,81,3.58
ETOTAMA,27,104,"action,comedy,supernatural",3,3,2,5,3,14,3.85
Lost Universe,6,22,"adventure,comedy,drama,sci-fi,shonen",0,0,1,0,5,0,3.67
Sin The Movie,66,257,"action,supernatural",7,7,4,9,15,31,3.89
Mysterious Girlfriend X,733,3437,"romance,comedy",13,13,13,22,93,592,4.69
YUKI YUNA IS A HERO,73,320,"drama,action,adventure,fantasy,supernatural",1,1,3,11,10,48,4.38
Amanchu!,35,153,"comedy,slice of life",1,1,1,4,7,22,4.37
Brynhildr in the Darkness,139,544,"action,fantasy,drama,romance,mystery",5,5,19,19,36,60,3.91
Domestic Girlfriend,210,924,"romance,drama",11,11,6,20,24,149,4.4
Cardcaptor Sakura,76,362,"fantasy,action,adventure,comedy,shojo",1,1,1,2,7,65,4.76
Daily Lives of High School Boys,28,132,"comedy,slice of life",0,0,1,1,3,23,4.71
HEROBANK,7,22,"action,sci-fi",2,2,1,1,0,3,3.14
Magical Girl Spec-Ops Asuka,46,185,"action,fantasy",3,3,4,5,11,23,4.02
Fate/Grand Order Absolute Demonic Front: Babylonia,19,82,"fantasy,action",2,2,1,0,2,14,4.32
Crunchyroll Collection,4,12,"comedy,idols",2,2,0,0,0,2,3.0
Peacemaker,8,23,,3,3,0,1,3,1,2.88
Shonen Ashibe GO! GO! Goma-chan,9,39,"comedy,adventure,slice of life",0,0,0,2,2,5,4.33
Fushigi Yugi OVA,3,12,"adventure,fantasy,romance,drama,shojo,isekai",0,0,0,1,1,1,4.0
Celestial Method,37,152,"fantasy,slice of life",2,2,3,3,10,19,4.11
"Welcome, Chitose",5,25,,0,0,0,0,0,5,5.0
Black Clover,1938,7429,"fantasy,adventure,action,shonen,comedy",288,288,174,147,293,1036,3.83
The Nameko Families,8,30,"comedy,slice of life",1,1,0,2,2,3,3.75
Between the Sky and Sea,31,73,"adventure,sci-fi,slice of life",15,15,4,4,2,6,2.35
Kanamemo,855,3970,"comedy,slice of life",19,19,5,35,144,652,4.64
Hitoribocchi no Marumaruseikatsu,55,262,"slice of life,comedy,shonen",0,0,1,2,6,46,4.76
Naruto,16613,79667,,456,456,64,282,818,14993,4.8
Himouto! Umaru-chan,196,890,"comedy,slice of life",5,5,6,12,28,145,4.54
Poyopoyo,291,1385,"comedy,slice of life",3,3,1,8,39,240,4.76
Captain Harlock: Arcadia of my Youth,0,0,"sci-fi,drama",0,0,0,0,0,0,0.0
Rozen Maiden,102,504,"fantasy,supernatural,drama",0,0,0,3,0,99,4.94
Young Black Jack,32,140,"drama,seinen,thriller,historical",1,1,1,1,11,18,4.38
SHOKU-KING (Motion Manga),1,5,,0,0,0,0,0,1,5.0
Hanasakeru Seishonen,2461,11829,"drama,romance",21,21,11,52,255,2122,4.81
No Game No Life,789,3707,"sci-fi,fantasy,adventure,comedy,isekai",11,11,17,25,93,643,4.7
The Ultimatum,3,7,"sgdrama,family",1,1,0,2,0,0,2.33
Pretty Cure,777,3546,magical girls,40,40,8,29,97,603,4.56
momokuri,24,97,"romance,comedy",0,0,3,4,6,11,4.04
Harukana Receive,33,146,"sports,drama",0,0,1,5,6,21,4.42
Masamune-kun's Revenge,186,671,"drama,romance,comedy",19,19,26,35,35,71,3.61
Blue Spring Ride,164,766,"romance,comedy,drama",2,2,2,11,18,131,4.67
Swan Lake,0,0,"romance,fantasy,music,drama,shojo",0,0,0,0,0,0,0.0
Xuan Yuan Sword Luminary,27,89,"fantasy,adventure,historical,action,supernatural",4,4,5,6,3,9,3.3
Anime de Training! Ex,26,98,"comedy,slice of life",3,3,1,8,1,13,3.77
Classroom of the Elite,294,1312,"slice of life,drama,seinen,thriller",10,10,14,16,44,210,4.46
Squishy! Black Clover,14,37,"comedy,action,fantasy,shonen",7,7,1,1,0,5,2.64
School-Live!,195,882,"slice of life,thriller,comedy,drama,mystery,post-apocalyptic",4,4,6,13,33,139,4.52
"Boku-no-imoutowa""Osaka-okan""",28,96,"comedy,slice of life",3,3,5,2,13,5,3.43
Riddle Story of Devil,21,86,"mystery,drama",1,1,1,2,8,9,4.1
Happiness!,3069,14529,"fantasy,harem,romance",52,52,17,92,373,2535,4.73
Tanaka-kun is Always Listless,118,558,"slice of life,comedy,shonen",0,0,4,1,18,95,4.73
Gokuaku Ganbo,4,19,,0,0,0,0,1,3,4.75
"Why the hell are you here, Teacher!?",72,285,"comedy,romance,harem",9,9,3,7,16,37,3.96
MEKAKUCITY ACTORS,142,578,"romance,action,sci-fi,music",5,5,13,19,35,70,4.07
Starlight Promises,19,78,"romance,drama,fantasy,historical",1,1,0,2,9,7,4.11
Uchitama?! Have you seen my Tama?,4,19,,0,0,0,0,1,3,4.75
RIN-NE,46,202,"romance,comedy,supernatural,slice of life,fantasy",1,1,1,5,11,28,4.39
Outlaw Star,15,71,,0,0,1,0,1,13,4.73
Brave 10,892,4141,historical,12,12,13,41,150,676,4.64
Eromanga Sensei,197,746,"romance,harem",33,33,12,16,39,97,3.79
Attack on Titan,2012,9523,"adventure,fantasy,action,drama,thriller,post-apocalyptic",43,43,32,56,157,1724,4.73
Magic User's Club OVA,0,0,"sci-fi,comedy,supernatural,romance",0,0,0,0,0,0,0.0
Sweet Blue Flowers,730,3415,"slice of life,drama,romance",17,17,6,23,103,581,4.68
Bungo Stray Dogs,265,1226,"drama,action,supernatural,comedy,seinen,historical",3,3,8,16,31,207,4.63
Alice & Zoroku,53,234,"adventure,slice of life,drama,action,supernatural",1,1,3,3,12,34,4.42
Yamada-kun and the Seven Witches,221,1040,"drama,slice of life,fantasy,comedy,supernatural,romance,harem",0,0,4,10,33,174,4.71
